+----------------------------+--------------------------+-----------------------+---------------------------------------------------------------------------------------------------------+
|url_host_name               |url_host_registered_domain|url_host_private_domain|url_path                                                                                                 |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/770/cost-coordinator-m-w-d                                                                     |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/772/testingenieur-fuer-elektrische-antriebsysteme-m-w-d                                        |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/773/mitarbeiter-toleranzmanagement-m-w-d                                                       |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/780/montage-und-prozessplaner-m-w-d                                                            |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/783/it-mitarbeiter-fuer-systemadministration-m-w-d                                             |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/784/junior-softwareentwickler-schwerpunkt-oracle-m-w-d                                         |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/785/it-system-engineer-m-w-d                                                                   |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/787/safety-engineer-m-w-d-entwicklung                                                          |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/789/entwicklungsingenieur-akustik-m-w-d                                                        |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/790/automatisierungstechniker-hochvolt-batterie-pruefanlagen-m-w-d                             |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/793/werkstudent-elektrotechnik-elektronik-mechatronik-im-bereich-automotive-m-w-d              |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/795/mitarbeiter-fuer-die-elektronikentwicklung-m-w-d                                           |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/800/spezialist-fuer-funktionsorientierte-entwicklung-und-funktionale-sicherheit-m-w-d          |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/801/funktionssoftwareentwickler-matlab-simulink-m-w-d                                          |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/802/einkaeufer-m-w-d                                                                           |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/803/qualitaetssicherung-im-bereich-hardware-m-w-d                                              |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/804/repair-administrator-f-m-d                                                                 |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/806/manager-vertrieb-m-w-d                                                                     |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/807/application-support-engineer-software-solutions-m-w-d                                      |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/808/engineer-fuer-datenanalyse-und-auswertungen-m-w-d                                          |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/809/htl-absolvent-m-w-d                                                                        |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/81/frontend-entwickler-m-w                                                                     |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/810/perfekter-karriereeinstieg-tu-fh-absolvent-m-w-d                                           |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/811/selbstaendiger-vertriebspartner-im-bereich-der-technischen-personaldienstleistung-m-w-d    |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/812/projektmanager-im-bereich-elektro-und-hybridfahrzeuge-m-w-d                                |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/814/leadcontrolling-im-bereich-operations-m-w-d                                                |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/818/typbegleiter-aufbau-m-w-d                                                                  |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/819/system-engineer-fuer-fahrzeug-hv-systeme-m-w-d                                             |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/822/projectmanager-embedded-systems-automotive-m-f-d                                           |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/826/mitarbeiter-im-bereich-mitteleinsatz-controlling-m-w-d                                     |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/827/versuchsingenieur-chassis-powertrain-m-w-d                                                 |
|karriere.asco-engineering.at|asco-engineering.at       |asco-engineering.at    |/job/view/828/konzeptingenieur-maschinenbau-m-w-d                                                        |
